E_ID	pubmed	symbol	reference gene	chr	satrt_p	end_p	species	Biosample_name	experiment_class	enhancer_experiment	Enhancer_type	enhancer_target_experiment_Description 	target_gene	Disease	DO	mesh	Enhancer_function	enhancer_function_experiment	Enhancer_function_experiment_Description	TF_name	experiment	experiment_Description	SNP_symbol	SNP_position	SNPexperiment	Distance_from_TSS	
E_01_011	26673704	--	hg19	chr7	117099048	117099450	Human	Caco-2	Low throughput	"RT-qPCR,4C,ChIP,CRISPR/Cas9"	Enhancer	"The promoter viewpoint showed that deletion of ?20.9 increased interactions with the ?80.1 sites but reduced interactions with specific,but not all Enhancer elements in the 5' half of the locus (indicated by arrows)."	CFTR	--	--	--	"The ?20.9 kb site primarily plays a structural role at the locus and in its absence other CTCF sites can at least partially compensate for its
function."	"CRISPR/Cas9,ChIP,RT-qPCR"	Next we performed RT-qPCR to measure CFTR expression levels in the ?20.9 kb deletion clones in comparison to WT clones and showed that the minor increase (1.25-fold) was not signiicant.This suggests that the ?20.9 kb site primarily plays a structural role at the locus and in its absence other CTCF sites can at least partially compensate for its function.	"FOXA1,FOXA2,HNF1A,CDX2"	"4C,ChIP,CRISPR/Cas9"	"Approximately 1.2 encompassing the binding sites for critical transcription factors driving the intron 11 Enhancer (FOXA1/2,HNF1 and CDX2)."	--	--	--	>2KB	
E_01_012	26673704	--	hg19	chr7	117228051	117229440	Human	Caco-2	Low throughput	"RT-qPCR,4C,ChIP,CRISPR/Cas9"	Enhancer	"Approximately 1.2 encompassing the binding sites for critical transcription factors driving the intron 11 Enhancer (FOXA1/2,HNF1 and CDX2)."	CFTR	--	--	--	"Deletion of a strong enhancer in intron 11 has little impact on the 3D architecture, but represses CFTR gene expression."	"CRISPR/Cas9,RT-qPCR"	"Approximately 1.2 kb encompassing the binding sites for critical transcription factors driving the intron 11 enhancer (FOXA1/2, HNF1 and CDX2).The del11 clones show a significant reduction in RNAP II occupancy at the promoter, intron 1, 10 and 11, suggesting a global loss of the polymerase across the CFTR locus.The intron 11 enhancer participates in recruitment of RNAPII to the CFTR promoter as well as to intronic regions."	"FOXA1,FOXA2,HNF1A,CDX2"	"4C,ChIP,CRISPR/Cas9"	"Approximately 1.2 encompassing the binding sites for critical transcription factors driving the intron 11 Enhancer (FOXA1/2,HNF1 and CDX2)."	--	--	--	Intron	
E_01_013	26656844	MYC-ECSE (MYC endometrial carcinoma super-Enhancer)	hg19	chr8	129543949	129554294	Human	Endometrial Carcinoma Cell Lines Ishikawa	Low throughput	"ChIP-seq,Luciferase,3C每qPCR,CRISPR/Cas9,siRNA"	Super-Enhancer	"We performed chromosome conformation capture (3C) assays in A549 and Ishikawa cells and found that MYC-LASE physically interacted with the MYC promoter only in A550 cells and, reciprocally,that MYC-ECSE physically interacted with the MYC promoter only in Ishikawa cells."	MYC	Endometrial Carcinoma	DOID:2871	D016889	Two distinct focal amplifications of super-enhancers 3∩ to MYC in lung adenocarcinoma (MYC-LASE) and endometrial carcinoma (MYC-ECSE) are physically associated with the MYC promoter and correlate with MYC overexpression.	"3C,ChIP-seq"	"We performed chromosome conformation capture (3C) assays in A549 and Ishikawa cells and found that MYC-LASE physically interacted with the MYC promoter only in A549 cells and, reciprocally,that MYC-ECSE physically interacted with the MYC promoter only in Ishikawa cells. In addition, tumors with amplification of MYC alone or MYC-LASE or MYC-ECSE alone had higher MYC expression than tumors lacking either amplification. These results suggest that both MYC-LASE and MYC-ECSE drive MYC expression through lineage-specific chromatin loops."	--	--	--	--	--	--	>2KB	
E_01_014	29045844	--	hg19	chr8	98253530	98257713	Human	Mantle Cell Lymphoma (MCL)	Low throughput	"ChIP-seq,ChIP-qPCR,4C-Seq"	Enhancer	Our data therefore suggest that CLL and MCL cell lines with an intact MYC locus require RBPJ-NICD (or RBPJ-EBNA2) binding to drive MYC expression via the E1/E2 enhancers.	MYC	Small B Cell Lymphoma	--	D015451	"Notch stimulates MYC expression in B cells through the E1 and E2 sites, referred to as the B cell Notch-dependent MYC enhancer (B-NDME)."	"qRT-PCR,ChIP-seq"	"To test the effect of co-repressing the E1 and E2 modules,KRAB-dCAS9-P2A-mCherry lines were co-transduced with E1- and E2-targeting sgRNA lentiviruses. This led to decreased MYC expression (Figure 5B) and cell proliferation (Figure 5C) in SP-49 and Granta-519 cells, but not in MYC-rearranged Jeko-1 cells. Thus, Notch stimulates MYC expression in B cells through the E1 and E2 sites, referred to as the B cell Notch-dependent MYC enhancer (B-NDME)."	"RBPJ,IRF8,POU2AF1,MYBL2"	"ChIP-qPCR,ChIP"	Our data therefore suggest that CLL and MCL cell lines with an intact MYC locus require RBPJ-NICD (or RBPJ-EBNA2) binding to drive MYC expression via the E1/E2 enhancers.	--	--	--	>2KB	
E_01_015	29045844	--	hg19	chr8	98310330	98314427	Human	Mantle Cell Lymphoma (MCL)	Low throughput	"ChIP-seq,ChIP-qPCR,4C-Seq"	Enhancer	Our data therefore suggest that CLL and MCL cell lines with an intact MYC locus require RBPJ-NICD (or RBPJ-EBNA2) binding to drive MYC expression via the E1/E2 enhancers.	MYC	Small B Cell Lymphoma	--	D015451	"Notch stimulates MYC expression in B cells through the E1 and E2 sites, referred to as the B cell Notch-dependent MYC enhancer (B-NDME)."	"qRT-PCR,ChIP-seq"	"To test the effect of co-repressing the E1 and E2 modules,KRAB-dCAS9-P2A-mCherry lines were co-transduced with E1- and E2-targeting sgRNA lentiviruses. This led to decreased MYC expression (Figure 5B) and cell proliferation (Figure 5C) in SP-49 and Granta-519 cells, but not in MYC-rearranged Jeko-1 cells. Thus, Notch stimulates MYC expression in B cells through the E1 and E2 sites, referred to as the B cell Notch-dependent MYC enhancer (B-NDME)."	"RBPJ,IRF8,POU2AF1,MYBL2"	"ChIP-qPCR,ChIP"	Our data therefore suggest that CLL and MCL cell lines with an intact MYC locus require RBPJ-NICD (or RBPJ-EBNA2) binding to drive MYC expression via the E1/E2 enhancers.	--	--	--	>2KB	
E_01_016	26751080	--	hg19	chr17	26077792	26078792	Human	A549	Low throughput	3C	Enhancer	Our 3C assay was able to detect a long DNA loop between the hiNOS enhancer and core promoter site.	NOS2	--	--	--	The coactivator p300 mediates cytokine-induced hiNOS transactivation by forming a distant DNA loop between its enhancer and core promoter region.	Luciferase Reporter Assay	These findings indicate that the cytokine-induced Enhancer region at -5 kb to -6 kb is required for p300-mediated increase in CM-induced hiNOS promoter activity.	JUND	ChIP	These findings are consistent with p300 mediated hiNOS transactivation at the hiNOS Enhancer mainly through the upstream AP-1 site at -5.3 kb by forming a DNA-Protein complex.	--	--	--	>2KB	
E_01_017	19386363	CD200 distal Enhancer	hg19	chr3	112045517	112046117	Human	HUVEC	Low throughput	"Luciferase Reporter Assay,ChIP,PCR"	Enhancer	"These results indicate that the potential regulatory region (?5677/?5077) functions as an inducible Enhancer for human CD200 and that three ciselements GAS, NF-kB,ISRE(2) play a functional role in that inducible expression."	CD200	"Graft Rejection, Autoimmune Diseases, Spontaneous Abortion"	"--,--,--"	"D006084,D001327,D000022"	"All the above findings suggest that IFN-污 and TNF-汐  induce CD200 expression through a 5  upstream Enhancer and that NF-百B, STAT1 and IRF-1 play pivotal roles in this process."	ChIP	"These results suggest that NF-kB, STAT1 and IRF-1 interact with the Enhancer region containing the corresponding binding sites following stimulation with IFN-污 and TNF-汐."	"NFKB1,STAT1,IRF1"	"qPCR,ChIP"	"The  results of ChIP  and PCR suggest that NF-kB, STAT1 and IRF-1 interact with the Enhancer region containing the corresponding binding sites following stimulation with IFN-rand TNF-a. "	--	--	--	>2KB	
E_01_018	24413736	--	hg19	chr8	119704124	119707831	Human	"HEK-293,汕-cell"	Low throughput	"RNA-seq,ChIP-seq,ChIP,EMSA,PCR,4C,Luciferase Reporter Assay"	Enhancer	"Similar observations were made at multiple established T2D and FG regions, including SLC2A2, CDKN2A, C2CD4A/B,SLC30A8,DGKB, and PCSK1,where we identified associated variants that mapped to transcription factor-bound C3 sites, many of which disrupt islet-enriched sequence motifs."	SLC2A2	Type 2 Diabetes Mellitus	DOID:9352	D003924	Sequence variants associated with type 2 diabetes and fasting glycemia are enriched in these clustered islet enhancers and identify trait-associated variants that disrupt DNA binding and islet enhancer activity.	Luciferase Reporter Assay	"Transcription factor-bound C3 sites were also cloned in Gateway-adapted PGL4.23 and cotransfected in triplicate wells with pRL in MIN6 and 3T3 cells, and luciferase activity was measured after 48 hr. Results were expressed as luciferase/renilla ratios in vectors carrying putative Enhancers, relative to the ratio in empty PGL4.23 vector."	"FOXA2,MAFB,NKX2-2"	ChIP-seq	"To determine the genomic binding sites of these islet transcription factors, we used chromatin immunoprecipitation and sequencing(ChIP-seq) in duplicate human islet samples and identified 3,911-32,747 high-confidence sites per transcription factor. "	--	--	--	>2KB	
E_01_019	18202151	 hRLD2 Enhancer	hg19	chr13	43111372	43112072	Human	MG-63	Low throughput	"EMSA,ChIP,RT-PCR"	Enhancer	"To confirmthis complex sequence mediates the activity of 1,25-(OH)2D3 in the hRLD1 region we employed EMSA."	TNFSF11	Osteopetrosis	DOID:13533	D010022	"Activity at this region in response to 1,25(OH)2D3 was associated with a significant increase in histone acetylation as well as the enhanced recruitment of RNA polymerase II."	ChIP	"Importantly, activity at this region in response to 1,25(OH)2D3 was associated with a significant increase in histone acetylation as well as the enhanced recruitment of RNA polymerase II. Both likely reflect the primary role of this enhancer in human RANKL gene expression."	VDR	"ChIP-seq,siRNA"	"To evaluate this possibility, we treated MG63 cells with either nontargeting or previously validated hVDR small interfering RNA (siRNA)  for 48 h and then subjected the cells to ChIP analysis using antibodies to VDR, RXR, or IgG. The ability of the VDR siRNA to suppress VDR mRNA levels is documented in Fig. 4A The results in Fig. 4B reveal that VDR siRNA treatment does produce a decrease in the level of occupancy of both VDR and RXR at the hRLD1 enhancer but not at the TSS. Interestingly, this reduction in unliganded VDR at the hRLD1 enhancer also caused an approximate 50% reduction in the basal level of human RANKL mRNA expression in MG63 cells as well. "	--	--	--	>2KB	
E_01_020	19467240	--	hg19	chr17	26072592	26074592	Human	Hep G2	Low throughput	"Luciferase Reporter Assay,PCR,EMSA,ChIP"	Enhancer	We identied a far-upstream functional Oct-1 Enhancer motif at ?10.2 kb in the hiNOS promoter that regulates cytokine-induced hiNOS gene transcription.	NOS2	--	--	--	--	--	--	POU2F1	"EMSA,ChIP"	"To examine whether the Oct-1 protein can interact with the potential Oct-1 binding site at ?10.2 kb of hiNOS in vitro, we carried out electrophoretic mobility shift assays (EMSAs) with nuclear extracts from HepG2 cells.Chromatin immunoprecipitation assay confirms that Oct-1 specifically binds to the motif at ?10.2 kb in the hiNOS promoter in vivo."	--	--	--	>2KB	
E_01_021	19708858	HREs Enhancer	hg19	chr3	48598405	48598558	Human	TE-671	Low throughput	"Luciferase Reporter Assay,RT-PCR"	Enhancer	"To test their role as Enhancers, we cloned several fragments of the 3'FLR of the hUcn2 gene downstream of the firefly luciferase gene in (a) the pGL3 ?746 bp vector containing the functional hUcn2 promoter, and (b) the pGL3control vector containing an internal SV40 promoter."	UCN2	Myocardial Ischemia	--	D017202	"Hypoxia induces hUcn2 expression via a specific HRE in the 3 FLR of the hUcn2 gene, which interacts with the transcription factor HIF1汐."	Luciferase Reporter Assay	"Similar to the results obtained with constructs that contained the 3' FLR3 variants downstream of the luciferase gene, the hypoxia- and CPX-induced luciferase activation was strongest in the 3' FLR3 containing both wild-type HRE1 and HRE2."	HIF1A	ELISA	"To prove that HIF1汐 binds to HRE1 and HRE2 in the 3FLR of the hUcn2 gene, we performed HIF1汐 binding and competition ELISA assays. After 12 h of hypoxia, binding of HIF1汐 to the EPO HRE was stronger than under normoxic conditions."	--	--	--	>2KB	
E_01_022	19773398	SF-1 Enhancer	hg19	chrx	30317939	30318739	Human	HEK-293	Low throughput	"Luciferase Reporter Assay,PCR"	Enhancer	"These results demonstrate that the sequence 3.8-4.6 kb upstream of NR0B1 contains an SF-1 binding site in humans, which we propose acts as an SF-1 responsive Enhancer of DAX1 expression."	NR0B1	X-Linked Congenital Adrenal Hypoplasia	DOID:0080156	D000075262	A reporter construct lacking this Enhancer element upstream of NR0B1 was unresponsive to SF-1 transcriptional activation.	Luciferase Reporter Assay	"SF-1 acted as an activator on the wild-type construct, whereas the mutant construct,lacking the SF-1 consensus binding site, showed no response to SF-1. 
"	NR5A1	Luciferase Reporter Assay	"Luciferase reporter gene activity in transiently transfected HEK293 cells. Relative luciferase activity refers to the activity of the
firefly reporter gene normalized to Renilla luciferase internal control for transfection efficiency. The mutant CNE is unresponsive to the transcription enhancement seen in the presence of cotransfected SF-1."	--	--	--	>2KB	
E_01_023	20061391	MnSOD Enhancer	hg19	chr6	160101620	160102231	Human	PC-3	Low throughput	"RT-PCR,Luciferase Reporter Assay,EMSA,ChIP"	Enhancer	MnSOD gene transcription was measured based on the luciferase activity of a MnSOD promoter (555 to 24) or a promoter/Enhancer (555 to24/1742 to 2083)-driven pGL3 reporter vector.	SOD2	--	--	--	The positive effect of p53 on MnSOD expression is dependent on the presence of the intronic Enhancer element of the MnSOD gene	Luciferase Reporter Assay	Addition of the Enhancer element to the MnSOD promoter construct led to the bi-directional effect of p53 as observed with the endogenous MnSOD gene.These results suggest that the positive effect of p53 on MnSOD expression is dependent on the presence of the intronic Enhancer element of the MnSOD gene.	TP53	"PCR,EMSA,ChIP"	"The promoter fragment amplified after p53 overexpression was decreased when the ChIP was preformed with the Sp1 antibody.
These results are consistent with the DNA-binding data obtained by EMSA, suggesting that p65 binding to the MnSOD enhancer may contribute to the induction of MnSOD gene transcription."	--	--	--	>2KB	
E_01_024	20061391	MnSOD Enhancer	hg19	chr6	160101890	160102231	Human	PC-3	Low throughput	"Luciferase Reporter Assay,EMSA,PCR,ChIP"	Enhancer	"The results of ChIP and PCR are consistent with the DNA-binding data obtained by EMSA,suggestingthatp65bindingtotheMnSOD Enhancer may contribute to the induction of MnSOD gene transcription."	SOD2	--	--	--	--	--	--	SP1	"PCR,EMSA,ChIP"	"The promoter fragment amplified after p53 overexpression was decreased when the ChIP was preformed with the Sp1 antibody.
These results are consistent with the DNA-binding data obtained by EMSA, suggesting that p65 binding to the MnSOD enhancer may contribute to the induction of MnSOD gene transcription."	--	--	--	>2KB	
E_01_025	19285986	Di	hg19	chr16	67519201	67519833	Human	"H295R,N38"	Low throughput	"Transgenic mice,Luciferase Reporter Assay"	Enhancer	Subregions Di and Diii (but not Dii) had Enhancer properties for the AgRP basal promoter in both h295R and N38 cell lines.	AgRP	--	--	--	--	--	--	--	--	--	--	--	--	>2KB	
E_01_026	19285986	Dic	hg19	chr16	67519609	67519833	Human	"H295R,N38"	Low throughput	"Transgenic mice,Luciferase Reporter Assay"	Enhancer	Subregions Di and Diii (but not Dii) had Enhancer properties for the AgRP basal promoter in both h295R and N38 cell lines.	AgRP	--	--	--	--	--	--	--	--	--	--	--	--	>2KB	
E_01_027	19285986	Diii	hg19	chr16	67520417	67521049	Human	"H295R,N38"	Low throughput	"Transgenic mice,Luciferase Reporter Assay"	Enhancer	Subregions Di and Diii (but not Dii) had Enhancer properties for the AgRP basal promoter in both h295R and N38 cell lines.	AgRP	--	--	--	--	--	--	--	--	--	--	--	--	>2KB	
E_01_028	19285986	Diiia	hg19	chr16	67520417	67520638	Human	"H295R,N38"	Low throughput	"Transgenic mice,Luciferase Reporter Assay,Transfection"	Enhancer	"To examine further the properties of the two candidate Enhancers (Diiia and Diiib), luciferase-expressing transgenic mice were made."	AgRP-ATP6V0D1	--	--	--	--	--	--	--	--	--	--	--	--	>2KB	
E_01_029	19285986	Diiib	hg19	chr16	67520620	67520851	Human	"H295R,N38"	Low throughput	"Luciferase Reporter Assay,Transfection"	Enhancer	"To examine further the properties of the two candidate Enhancers (Diiia and Diiib), luciferase-expressing transgenic mice were made."	AgRP-ATP6V0D2	--	--	--	--	--	--	--	--	--	--	--	--	>2KB	
E_01_030	20093418	FKBP51 Enhancer	hg19	chr6	35574362	35576362	Human	A549	Low throughput	"RT-qPCR,ChIP"	Enhancer	Schematic locations of the GREs and regions analyzed in reporter and ChIP assays.	FKBP4	--	--	--	--	--	--	CTCF	ChIP	We used the genome-wide CTCF-binding information from the CTCF-binding site database for choosing the regions to be ChIP scanned with anti-CTCF antibody.	--	--	--	>2KB	
E_01_031	20093418	FKBP51 Enhancer	hg19	chr6	35505138	35511492	Human	"A549,VCaP"	Low throughput	"RT-qPCR,ChIP"	Enhancer	"Taken together, these results indicate that the region at approximately 34 kb 5' of the TSS and the regions at about 87 and 100 kb 3' of the TSS of FKBP51 show characteristics of GR-regulated Enhancers."	FKBP4	--	--	--	The holo-GR is capable of activating transcription and evoking changes in chromatin structure through distant-acting Enhancers.	ChIP	Our quantitative chromatin immunoprecipitation scans and Enhancer activity analyses indicate that activation of the FKBP51 locus by glucocorticoids in vivo is triggered by the loading of GR to Enhancers at about 34 kb 5' and about 87 kb 3' of the transcription start site.	CTCF	ChIP	"Interestingly,our ChIP assays from the A549 cells indicate a significant enrichment of both the CTCF and the cohesin subunit RAD21 at regions approximately 48 kb 5' and about 105kb 3' of the FKBP51 TSS, which border the region encompassing the GR-regulated Enhancers."	--	--	--	>2KB	
E_01_032	20093418	FKBP51 Enhancer	hg19	chr6	35616283	35622638	Human	"A549,VCaP"	Low throughput	"RT-qPCR,ChIP"	Enhancer	"Taken together, these results indicate that the region at approximately 34 kb 5 of the TSS and the regions at about 87 and 100 kb 3 of the TSS of FKBP51 show characteristics of GR-regulated Enhancers."	FKBP4	--	--	--	the holo-GR is capable of activating transcription and evoking changes in chromatin structure through distant-acting Enhancers.	ChIP	Our quantitative chromatin immunoprecipitation scans and Enhancer activity analyses indicate that activation of the FKBP51 locus by glucocorticoids in vivo is triggered by the loading of GR to Enhancers at about 34 kb 5 and about 87 kb 3 of the transcription start site.	CTCF	ChIP	"Interestingly,our ChIP assays from the A549 cells indicate a significant enrichment of both the CTCF and the cohesin subunit RAD21 at regions approximately 48 kb 5' and about 105kb 3' of the FKBP52 TSS, which border the region encompassing the GR-regulated Enhancers."	--	--	--	>2KB	
