label	chr	pos1	pos2	type	elem	id	flank_side	elements	strand	ENdb_id	jiang_TEs	jiang_SEs	tonekaboni_COREs_h1	barakat_naive_CSS_RPP	barakat_primed_CSS_RPP	barakat_naive_SE	barakat_primed_SE	kunarso_CTCF_peaks	kunarso_NANOG_peaks	kunarso_OCT4_peaks	HACER_GRO_seq	lu_active_RNAseq	wang_id	wang_state	zhang_RNAseq_rank	goke_id	goke_stage	carter_ltr_subfamily	ATAC_seq_peaks	H1_ChromHMM	H1_CIS	endo_ChromHMM	endo_CIS
flanked:LTR7_HERVH-int:1338	chr1	70367628	70374024	flanked	LTR7_HERVH-int	1338	NA	7	+	NA	TE_02_02102938, TE_02_09713863, TE_02_19804173, TE_02_19904048, TE_02_20002313, TE_02_20204844, TE_02_20401604, TE_02_20504209, TE_02_20804309, TE_02_23705974, TE_02_24107847, TE_02_35210880, TE_02_35309115, TE_02_35809617, TE_02_36110428, TE_02_42611772, TE_02_03626587, TE_02_08206446, TE_02_08408457, TE_02_08510821, TE_02_12513163, TE_02_20101401, TE_02_26814968, TE_02_27008380, TE_02_41802098, TE_02_42313199, TE_02_43505108, TE_00_02401276, TE_02_01100828, TE_02_03803165, TE_02_08605306, TE_02_11400861, TE_02_17800671, TE_02_19601850, TE_02_23602045, TE_02_24204970, TE_02_26700745, TE_02_39701231, TE_02_41501166, TE_02_42701639, TE_01_05801016	Sample_02_064, Sample_02_065, Sample_02_066, Sample_02_067, Sample_02_124, Sample_02_150, Sample_02_177	NA	NA	243, 286	NA	NA	NA	NA	1	NA	NA	HERVH_27	highly	112	NA	NA	7o	1	TxWk, EnhA2	cont_Tx_EnhG2, cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1339	chr1	70588436	70593991	flanked	LTR7_HERVH-int	1339	NA	8	+	NA	TE_00_02416930, TE_01_06801963, TE_02_03618708, TE_02_03823024, TE_02_06504880, TE_02_16209572, TE_02_16801778, TE_02_16913493, TE_02_17010837, TE_02_25710912	NA	NA	NA	NA	NA	NA	NA	1	NA	GSE41009_1033	NA	HERVH_28	inactive	418	NA	NA	7d1	NA	EnhA1	cont_EnhA	NA	NA
flanked:LTR7_HERVH-int:1340	chr1	72980445	72993602	flanked	LTR7_HERVH-int	1340	NA	15	-	NA	TE_00_01204786, TE_00_01300844, TE_00_02410940, TE_01_03100490, TE_01_03305534, TE_02_03604497, TE_02_03820625, TE_02_04203193, TE_02_06600072, TE_02_09402292, TE_02_12401079, TE_02_12501900, TE_02_23716352, TE_02_24012069, TE_02_38206417, TE_02_41806186	Sample_02_064, Sample_02_065, Sample_02_067	NA	289, 167, 822	1000	NA	NA	NA	5	4	GSE41009_1043, GSE64758_161	active	HERVH_29	moderately	516, 235	348811, 104716	hescp0, hescp10	7up1	3	TxWk, EnhA2, EnhA1, EnhWk, Het	cont_Low_TssBiv, cont_EnhA, cont_Low_EnhWk, cont_Het_Rpts	EnhA2	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1341	chr1	76894812	76900387	flanked	LTR7_HERVH-int	1341	NA	8	-	NA	TE_00_02409497, TE_02_03321292, TE_02_03810914, TE_02_11415495, TE_02_39707719, TE_01_06911869, TE_02_04305921, TE_02_09502238	NA	NA	1000	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_31	moderately	371	NA	NA	7d2	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1343	chr1	79488607	79494123	flanked	LTR7_HERVH-int	1343	NA	8	-	NA	TE_02_03607147, TE_02_03825439, TE_02_06702648, TE_02_06401339, TE_02_06500394	NA	NA	175	1000	NA	NA	NA	2	NA	GSE41009_1073, GSE64758_166	NA	HERVH_33	moderately	174	NA	NA	7d2	1	EnhA2, TxWk	cont_Low_TssBiv, cont_TxWk_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1344	chr1	79638761	79644487	flanked	LTR7_HERVH-int	1344	NA	8	-	NA	TE_00_02411155	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_1076, GSE64758_167	NA	HERVH_34	inactive	764	NA	NA	7d1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1346	chr1	81245282	81251207	flanked	LTR7_HERVH-int	1346	NA	8	+	NA	TE_02_11905871, TE_00_01200044, TE_00_01900080, TE_01_03302431, TE_02_01704414, TE_02_03814642, TE_02_04200277, TE_02_09400460, TE_02_12402027	Sample_00_013, Sample_00_018, Sample_01_031, Sample_02_065, Sample_02_066, Sample_02_067, Sample_02_036, Sample_02_064, Sample_02_125	NA	237, 225, 324	1000	NA	NA	NA	2	NA	E-MTAB-742_26, GSE41009_1085, GSE64758_169	active	HERVH_36	highly	64	104648	hescp10	7up1	1	TxWk, TssFlnk, TssA, EnhG1, EnhG2	cont_Tss_noEnh, cont_Low_EnhWk, cont_TxWk_Enh, cont_TxWk_EnhWk, cont_EnhA	TssFlnk, TxWk, EnhA2	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1347	chr1	82067562	82072836	flanked	LTR7_HERVH-int	1347	NA	8	-	NA	TE_02_12405391	NA	NA	158	NA	NA	NA	NA	NA	NA	GSE41009_1102, GSE64758_175	active	HERVH_37	moderately	398	NA	NA	NA	NA	Het	cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1348	chr1	82354568	82360556	flanked	LTR7_HERVH-int	1348	NA	9	-	NA	TE_00_02401775, TE_02_04305472, TE_02_14409343, TE_02_25613494, TE_02_33210487, TE_02_33307190, TE_02_33407987, TE_02_33505916, TE_02_33709700, TE_02_03805461	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_1108, GSE64758_176	NA	HERVH_38	inactive	1000	NA	NA	7d1	NA	Het	cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1349	chr1	82955310	82961594	flanked	LTR7_HERVH-int	1349	NA	6	+	NA	TE_02_24013392	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_1115	NA	HERVH_39	inactive	858	NA	NA	7d2	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1350	chr1	93830336	93837088	flanked	LTR7_HERVH-int	1350	NA	6	+	NA	TE_02_08800603, TE_02_26400202, TE_02_02102897, TE_02_03801382, TE_02_29704232	Sample_00_031, Sample_02_091, Sample_02_397, Sample_02_419, Sample_00_003, Sample_00_024, Sample_01_066, Sample_02_043, Sample_02_087, Sample_02_112, Sample_02_114, Sample_02_177, Sample_02_265, Sample_02_301, Sample_02_311, Sample_02_317	NA	175	235	NA	NA	NA	NA	1	GSE41009_1175	NA	HERVH_41	inactive	646, 693	NA	NA	7o	NA	Het, ZNF-Rpts	cont_Het_Rpts	NA	NA
flanked:LTR7_HERVH-int:1351	chr1	94566477	94572826	flanked	LTR7_HERVH-int	1351	NA	7	-	NA	TE_01_08701830, TE_02_03800928, TE_02_04304056, TE_02_06901111, TE_02_35502224	Sample_01_027	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_1180	NA	HERVH_42	inactive	1002	NA	NA	NA	1	Het	cont_TxWk_EnhWk	Het	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1352	chr1	98801054	98806858	flanked	LTR7_HERVH-int	1352	NA	7	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_1213	NA	HERVH_43	moderately	339	NA	NA	7d1	NA	Het	cont_Het_Rpts	NA	NA
flanked:LTR7_HERVH-int:1353	chr1	99509510	99515367	flanked	LTR7_HERVH-int	1353	NA	7	+	NA	TE_01_03102601, TE_02_03615966, TE_02_06410413, TE_02_30210539, TE_02_06508142, TE_02_06604387, TE_02_06707328, TE_02_07200124	NA	NA	184	NA	NA	NA	NA	1	NA	GSE41009_1214, GSE64758_188	active	HERVH_44	moderately	188	104653, 348735	hescp0, hescp10	7up1	2	EnhA2	cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1354	chr1	101597229	101603442	flanked	LTR7_HERVH-int	1354	NA	7	-	NA	TE_02_02103636, TE_02_24003720, TE_02_24207069	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_10, GSE64758_1	NA	HERVH_45	inactive	853	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1357	chr1	108473289	108478596	flanked	LTR7_HERVH-int	1357	NA	8	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_48	inactive	947	NA	NA	NA	NA	Het, ZNF-Rpts	cont_Het_Rpts_strong, cont_Het_Rpts	NA	NA
flanked:LTR7_HERVH-int:1358	chr1	112809666	112815325	flanked	LTR7_HERVH-int	1358	NA	10	+	NA	TE_00_01020374, TE_00_01602656, TE_00_03110119, TE_01_03711193, TE_01_07610460, TE_02_06811109, TE_02_20510673, TE_02_27010877, TE_02_33005619, TE_02_36706160, TE_02_36803878, TE_02_39628773, TE_00_00305769, TE_00_01300278, TE_02_01701512, TE_02_03906317, TE_02_04001674, TE_02_04200271, TE_02_09400034, TE_02_12500376, TE_02_18400328, TE_02_32204462, TE_02_33703603	Sample_00_024, Sample_02_036, Sample_02_038, Sample_02_043, Sample_02_064, Sample_02_065, Sample_02_067, Sample_02_124, Sample_02_183, Sample_02_185, Sample_02_328	NA	185	NA	present	present	NA	NA	NA	GSE41009_78, GSE64758_4	NA	HERVH_50	highly	672	NA	NA	7d1	1	EnhA1, EnhA2, TxWk	cont_EnhA	EnhA1, TxWk, TssFlnk	cont_Low_EnhWk, cont_Tss_noEnh
flanked:LTR7_HERVH-int:1359	chr1	112820144	112826054	flanked	LTR7_HERVH-int	1359	NA	8	-	NA	TE_02_04407106, TE_02_30612254, TE_02_32208202, TE_02_35605625, TE_00_01200538, TE_00_01300278, TE_01_03301443, TE_02_01701512, TE_02_02705558, TE_02_02805369, TE_02_03906317, TE_02_04001674, TE_02_04200271, TE_02_04807582, TE_02_09400034, TE_02_12500376, TE_02_15009734, TE_02_18400328, TE_02_28909279, TE_02_30008225, TE_02_32900457, TE_02_35903405, TE_02_33703603	Sample_00_024, Sample_01_031, Sample_02_036, Sample_02_038, Sample_02_043, Sample_02_064, Sample_02_065, Sample_02_066, Sample_02_067, Sample_02_124, Sample_02_183, Sample_02_185, Sample_02_328, Sample_02_418	NA	210	NA	present	present	NA	2	2	E-MTAB-742_1, GSE41009_78, GSE64758_4	NA	HERVH_50	highly	46	104730, 104731, 348833, 348832	EpiVsHesc, EpiVsLateb, lateb	7d1	2	EnhA2, EnhA1, TxWk, TssFlnk	cont_EnhA	TxWk	cont_EnhA
flanked:LTR7_HERVH-int:1360	chr1	115509140	115515447	flanked	LTR7_HERVH-int	1360	NA	6	-	NA	TE_02_39707515, TE_02_41500150, TE_01_04400221, TE_01_05807910, TE_02_01101768, TE_02_03101325, TE_02_08702594, TE_02_11601783, TE_02_13900806, TE_02_22301269, TE_02_26802998	NA	NA	NA	NA	NA	NA	NA	1	NA	GSE41009_97	NA	HERVH_52	inactive	1160	NA	NA	7o	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1362	chr1	163591308	163596529	flanked	LTR7_HERVH-int	1362	NA	6	+	NA	TE_00_01205736, TE_00_01803826, TE_00_01904446, TE_01_03100563, TE_01_04408640, TE_02_03605998, TE_02_04205093, TE_02_06404305, TE_02_06502533, TE_02_06601893, TE_02_06702650, TE_02_09403184, TE_02_12107022, TE_02_12508295, TE_02_25710666, TE_00_02403215, TE_01_06800171, TE_02_03801253, TE_02_04303263, TE_02_17602390, TE_02_28400513, TE_02_33406358, TE_02_35703114, TE_02_36203599	Sample_01_017, Sample_01_064	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_291, GSE64758_48	NA	HERVH_58	inactive	855	NA	NA	7o	4	EnhA2	cont_EnhA	NA	NA
flanked:LTR7_HERVH-int:1363	chr1	169683069	169688724	flanked	LTR7_HERVH-int	1363	NA	8	+	NA	TE_00_00900433, TE_00_02700379, TE_01_03000728, TE_01_05301463, TE_01_06700390, TE_02_11403078, TE_02_11800948, TE_02_12001568, TE_02_12202191, TE_02_12600361, TE_02_12700149, TE_02_21300246, TE_02_28801669	Sample_00_005, Sample_00_007, Sample_00_039, Sample_00_044, Sample_01_020, Sample_01_025, Sample_01_044, Sample_01_054, Sample_01_084, Sample_02_022, Sample_02_025, Sample_02_059, Sample_02_060, Sample_02_123, Sample_02_131, Sample_02_132, Sample_02_146, Sample_02_176, Sample_02_232, Sample_02_233, Sample_02_234, Sample_02_320, Sample_02_321, Sample_02_363, Sample_02_387, Sample_02_031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_59	inactive	809	NA	NA	7o	NA	ReprPC	cont_TxWk_EnhWk	ReprPC, ReprPCWk	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1366	chr1	185948278	185954216	flanked	LTR7_HERVH-int	1366	NA	8	-	NA	TE_00_02409574, TE_02_06412017, TE_02_06502764, TE_02_06703029	NA	NA	324	1000, 421	NA	NA	NA	1	NA	NA	active	HERVH_63	moderately	59	NA	NA	7up1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1367	chr1	187765508	187770901	flanked	LTR7_HERVH-int	1367	NA	8	-	NA	TE_02_12409010, TE_02_16900731, TE_02_17001310	NA	NA	NA	NA	NA	NA	NA	1	1	GSE41009_407, GSE64758_64	NA	HERVH_65	moderately	256	NA	NA	NA	NA	EnhA2	cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1368	chr1	192978516	192980540	flanked	LTR7_HERVH-int	1368	NA	4	-	NA	TE_01_02708047, TE_01_03906631, TE_01_05006195, TE_02_00805790, TE_02_00906630, TE_02_06306268, TE_02_09703317, TE_02_09902668, TE_02_10504557, TE_02_14302674, TE_02_26711634, TE_02_26817962, TE_02_41704452, TE_02_42702141, TE_01_03400189, TE_02_01602670, TE_02_35201031	Sample_02_426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_66	inactive	856	NA	NA	7o	1	TxWk, Het, ZNF-Rpts	cont_Low_TssBiv, cont_Het_Rpts	NA	NA
flanked:LTR7_HERVH-int:1370	chr1	198034650	198040990	flanked	LTR7_HERVH-int	1370	NA	7	+	NA	TE_02_04314723, TE_02_17616300, TE_02_03806346, TE_02_12801775	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_458	NA	HERVH_68	inactive	644	NA	NA	7d2	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1372	chr1	209448804	209454002	flanked	LTR7_HERVH-int	1372	NA	7	+	NA	TE_02_03314231, TE_02_04709785, TE_02_06514490, TE_02_34101749, TE_02_13300323	Sample_02_425, Sample_02_124	NA	200	1000, 953, 261	present	NA	NA	1	NA	NA	NA	HERVH_71	moderately	433	NA	NA	7up1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1373	chr1	210111089	210116207	flanked	LTR7_HERVH-int	1373	NA	6	-	NA	TE_02_06410604	NA	NA	249	NA	NA	NA	NA	1	NA	NA	NA	HERVH_72	inactive	762	NA	NA	7o	NA	TxWk, EnhWk	cont_TxWk_EnhWk, cont_EnhA_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1375	chr1	212910007	212914681	flanked	LTR7_HERVH-int	1375	NA	7	+	NA	TE_00_00304712, TE_01_00603830, TE_01_01206345, TE_02_08409602, TE_02_08507893, TE_02_17105956, TE_02_17207616, TE_02_23718010, TE_02_24012106, TE_02_41704360, TE_03_00405284, TE_03_00703980, TE_03_00804278, TE_03_00906026, TE_03_01003906, TE_03_01405632, TE_03_01504517, TE_03_01606088, TE_00_01700039, TE_01_02101070, TE_02_04003877, TE_02_12500057, TE_02_21100427, TE_02_32900444, TE_03_00501291, TE_03_01301381	Sample_00_012, Sample_00_013, Sample_00_016, Sample_00_018, Sample_00_019, Sample_00_024, Sample_01_031, Sample_01_033, Sample_02_017, Sample_02_036, Sample_02_038, Sample_02_042, Sample_02_043, Sample_02_064, Sample_02_065, Sample_02_066, Sample_02_067, Sample_02_124, Sample_02_328, Sample_02_418	NA	158, 947	146, 1000, 534	present	present	NA	1	NA	NA	active	HERVH_75	highly	61	104680	hescp10	7up1	1	TssFlnkU, EnhA2	cont_EnhA	EnhA2, TxWk, TssFlnkU	cont_Low_TssBiv, cont_Tss_EnhG
flanked:LTR7_HERVH-int:1376	chr1	215410116	215415683	flanked	LTR7_HERVH-int	1376	NA	8	-	NA	TE_02_00808349, TE_02_06408630, TE_02_16612956, TE_02_16708800, TE_02_39509576, TE_01_05008311, TE_02_06705817, TE_02_21009545, TE_02_35701255, TE_02_37803425	Sample_02_394	NA	NA	387	NA	NA	NA	2	NA	GSE41009_548, GSE64758_78	NA	HERVH_76	moderately	85	NA	NA	7up1	1	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1377	chr1	216008142	216013869	flanked	LTR7_HERVH-int	1377	NA	9	+	NA	TE_00_02407065, TE_02_06406940, TE_02_06504728, TE_02_06603112, TE_02_06704557, TE_02_12513688, TE_02_17231565	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	HERVH_77	moderately	409	NA	NA	7d2	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1378	chr1	216145600	216152688	flanked	LTR7_HERVH-int	1378	NA	5	+	NA	TE_01_03717722, TE_02_06403976, TE_02_06504862, TE_02_06601157, TE_02_06703917, TE_02_12403897, TE_02_12510917, TE_02_21004081, TE_02_32211933, TE_02_32808448, TE_00_02404073, TE_02_04303245	Sample_02_038	NA	140	NA	NA	NA	NA	1	2	NA	active	HERVH_78	highly	38	104683, 348765, 348766	hescp10	7up2	4	EnhWk	cont_Low_EnhWk	Het	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1380	chr1	221973077	221978957	flanked	LTR7_HERVH-int	1380	NA	8	-	NA	TE_00_01209978, TE_01_03100902, TE_02_03608212, TE_02_04208056, TE_02_06600110, TE_02_06700277, TE_02_41806259, TE_00_02401530, TE_02_04301100, TE_02_06400116, TE_02_11200128, TE_02_11600599, TE_02_12501841, TE_02_17605085, TE_02_32801272	Sample_02_038, Sample_02_065, Sample_02_080, Sample_02_086, Sample_02_124	NA	424, 324, 685	1000	present	NA	NA	2	1	E-MTAB-742_16, GSE41009_585, GSE64758_83	active	HERVH_81	highly	25	104745	hescp10	7up1	1	EnhWk, TxWk	cont_Low_TssBiv, cont_TxWk_EnhWk	NA	NA
