chr	H1_chromhmm	H1_CIS	cell_type	chr_1	pos1_1	pos2_1	element_lab	elem_type	elem_id	len	strand	main_lab	main_type	main_elem	main_id	flank_side	ltr_loc
chr10	Het	cont_TxWk_EnhWk	h1	chr10	35402830	35406174	HERVH-int:831	HERVH-int	831	18374	-	flanked:LTR7B_HERVH-int:1407	flanked	LTR7B_HERVH-int	1407	NA	NA
chr10	Het	cont_TxWk_EnhWk	h1	chr10	35406912	35408293	HERVH-int:832	HERVH-int	832	5465	-	flanked:LTR7B_HERVH-int:1407	flanked	LTR7B_HERVH-int	1407	NA	NA
chr10	ReprPCWk	cont_TxWk_EnhWk	h1	chr10	35406912	35408293	HERVH-int:832	HERVH-int	832	5465	-	flanked:LTR7B_HERVH-int:1407	flanked	LTR7B_HERVH-int	1407	NA	NA
chr10	ReprPCWk	cont_TxWk_EnhWk	h1	chr10	35408293	35408752	LTR7B:833	LTR7B	833	3651	-	flanked:LTR7B_HERVH-int:1407	flanked	LTR7B_HERVH-int	1407	NA	5prime
chr10	TxWk	cont_TxWk_EnhWk	h1	chr10	43320563	43321025	LTR7B:834	LTR7B	834	3701	+	solo:LTR7B:25	solo	LTR7B	25	NA	NA
chr10	TxWk	cont_Low_EnhWk	h1	chr10	45045462	45045865	LTR7:835	LTR7	835	2645	-	solo:LTR7:26	solo	LTR7	26	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	45045462	45045865	LTR7:835	LTR7	835	2645	-	solo:LTR7:26	solo	LTR7	26	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	45571570	45574605	HERVH-int:839	HERVH-int	839	11771	+	flanked:LTR7_HERVH-int:1408	flanked	LTR7_HERVH-int	1408	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	45574602	45574835	HERVH-int:840	HERVH-int	840	1407	+	flanked:LTR7_HERVH-int:1408	flanked	LTR7_HERVH-int	1408	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	45574856	45575156	HERVH-int:841	HERVH-int	841	1739	+	flanked:LTR7_HERVH-int:1408	flanked	LTR7_HERVH-int	1408	NA	NA
chr10	TssFlnk	cont_Low_EnhWk	h1	chr10	45574856	45575156	HERVH-int:841	HERVH-int	841	1739	+	flanked:LTR7_HERVH-int:1408	flanked	LTR7_HERVH-int	1408	NA	NA
chr10	TssFlnk	cont_Low_EnhWk	h1	chr10	45575156	45575406	HERVH-int:842	HERVH-int	842	1249	+	flanked:LTR7_HERVH-int:1408	flanked	LTR7_HERVH-int	1408	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	45575156	45575406	HERVH-int:842	HERVH-int	842	1249	+	flanked:LTR7_HERVH-int:1408	flanked	LTR7_HERVH-int	1408	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	45575377	45575701	HERVH-int:843	HERVH-int	843	1578	+	flanked:LTR7_HERVH-int:1408	flanked	LTR7_HERVH-int	1408	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	45575701	45576085	LTR7:844	LTR7	844	2399	+	flanked:LTR7_HERVH-int:1408	flanked	LTR7_HERVH-int	1408	NA	3prime
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	46054554	46055019	LTR7C:846	LTR7C	846	3227	-	solo:LTR7C:29	solo	LTR7C	29	NA	NA
chr10	TxWk	cont_Low_EnhWk	h1	chr10	46054554	46055019	LTR7C:846	LTR7C	846	3227	-	solo:LTR7C:29	solo	LTR7C	29	NA	NA
chr10	EnhWk	cont_TxWk_EnhWk	h1	chr10	50503341	50503701	LTR7:848	LTR7	848	1962	+	solo:LTR7:31	solo	LTR7	31	NA	NA
chr10	EnhG2	cont_Low_EnhWk	h1	chr10	52033756	52034207	LTR7:849	LTR7	849	3466	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	3prime
chr10	EnhG1	cont_Low_EnhWk	h1	chr10	52033756	52034207	LTR7:849	LTR7	849	3466	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	3prime
chr10	TxWk	cont_Low_TssBiv	h1	chr10	52033756	52034207	LTR7:849	LTR7	849	3466	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	3prime
chr10	TxWk	cont_Low_TssBiv	h1	chr10	52034207	52034587	HERVH-int:850	HERVH-int	850	2495	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	NA
chr10	TxWk	cont_Low_TssBiv	h1	chr10	52034585	52034801	HERVH-int:851	HERVH-int	851	1346	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	NA
chr10	TssFlnk	cont_Low_TssBiv	h1	chr10	52034585	52034801	HERVH-int:851	HERVH-int	851	1346	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	NA
chr10	TssFlnk	cont_Low_TssBiv	h1	chr10	52034802	52035454	HERVH-int:852	HERVH-int	852	4190	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	NA
chr10	TssFlnk	cont_Tss_Enh	h1	chr10	52036080	52039110	HERVH-int:855	HERVH-int	855	20649	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	NA
chr10	TssA	cont_Tss_Enh	h1	chr10	52036080	52039110	HERVH-int:855	HERVH-int	855	20649	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	NA
chr10	TssFlnk	cont_Tss_noEnh	h1	chr10	52036080	52039110	HERVH-int:855	HERVH-int	855	20649	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	NA
chr10	TssFlnk	cont_Tss_noEnh	h1	chr10	52039112	52039561	LTR7:856	LTR7	856	3385	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	5prime
chr10	TssFlnkU	cont_Tss_noEnh	h1	chr10	52039112	52039561	LTR7:856	LTR7	856	3385	-	flanked:LTR7_HERVH-int:1409	flanked	LTR7_HERVH-int	1409	NA	5prime
chr10	EnhA1	cont_EnhA	h1	chr10	53358812	53359266	LTR7:857	LTR7	857	3499	-	solo:LTR7:32	solo	LTR7	32	NA	NA
chr10	EnhA2	cont_EnhA	h1	chr10	53358812	53359266	LTR7:857	LTR7	857	3499	-	solo:LTR7:32	solo	LTR7	32	NA	NA
chr10	EnhA2	cont_EnhA	h1	chr10	53492722	53493172	LTR7:858	LTR7	858	3454	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	3prime
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	53492722	53493172	LTR7:858	LTR7	858	3454	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	3prime
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	53493172	53493552	HERVH-int:859	HERVH-int	859	2509	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	NA
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	53493550	53493771	HERVH-int:860	HERVH-int	860	1335	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	NA
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	53493768	53493946	HERVH-int:861	HERVH-int	861	1014	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	NA
chr10	ZNF-Rpts	cont_Het_Rpts	h1	chr10	53500028	53500511	HERVH-int:862	HERVH-int	862	3094	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	NA
chr10	ZNF-Rpts	cont_Het_Rpts	h1	chr10	53500513	53501368	HERVH-int:863	HERVH-int	863	6002	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	53500513	53501368	HERVH-int:863	HERVH-int	863	6002	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	53501347	53504264	HERVH-int:864	HERVH-int	864	19632	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	NA
chr10	TxWk	cont_Het_Rpts	h1	chr10	53501347	53504264	HERVH-int:864	HERVH-int	864	19632	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	NA
chr10	TxWk	cont_Het_Rpts	h1	chr10	53504277	53504727	LTR7:865	LTR7	865	3432	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	5prime
chr10	EnhA2	cont_EnhA	h1	chr10	53504277	53504727	LTR7:865	LTR7	865	3432	-	flanked:LTR7_HERVH-int:1410	flanked	LTR7_HERVH-int	1410	NA	5prime
chr10	Het	cont_Low_TssBiv	h1	chr10	55823267	55823691	LTR7C:873	LTR7C	873	2062	+	solo:LTR7C:33	solo	LTR7C	33	NA	NA
chr10	EnhA1	cont_EnhA	h1	chr10	70625492	70625517	LTR7:897	LTR7	897	1920	+	solo:LTR7:38	solo	LTR7	38	NA	NA
chr10	EnhA1	cont_EnhA	h1	chr10	70625823	70626932	LTR7:898	LTR7	898	2048	+	solo:LTR7:38	solo	LTR7	38	NA	NA
chr10	EnhA2	cont_EnhA	h1	chr10	70625823	70626932	LTR7:898	LTR7	898	2048	+	solo:LTR7:38	solo	LTR7	38	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	76818220	76818660	LTR7Y:899	LTR7Y	899	3522	+	flanked:LTR7Y_HERVH-int:1414	flanked	LTR7Y_HERVH-int	1414	NA	5prime
chr10	Het	cont_TxWk_EnhWk	h1	chr10	79963907	79965138	HERVH-int:907	HERVH-int	907	7306	+	nonflanked:LTR7_HERVH-int:2373:3prime	nonflanked	LTR7_HERVH-int	2373	3prime	NA
chr10	Het	cont_TxWk_EnhWk	h1	chr10	79965142	79965544	HERVH-int:908	HERVH-int	908	2707	+	nonflanked:LTR7_HERVH-int:2373:3prime	nonflanked	LTR7_HERVH-int	2373	3prime	NA
chr10	Het	cont_TxWk_EnhWk	h1	chr10	79967702	79968032	LTR7:909	LTR7	909	1769	+	nonflanked:LTR7_HERVH-int:2373:3prime	nonflanked	LTR7_HERVH-int	2373	3prime	3prime
chr10	EnhA1	cont_Low_EnhWk	h1	chr10	80910388	80910748	LTR7:910	LTR7	910	2165	-	solo:LTR7:39	solo	LTR7	39	NA	NA
chr10	EnhA2	cont_Low_EnhWk	h1	chr10	80910388	80910748	LTR7:910	LTR7	910	2165	-	solo:LTR7:39	solo	LTR7	39	NA	NA
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	83057507	83057877	LTR7:913	LTR7	913	1596	+	flanked:LTR7_HERVH-int:1415	flanked	LTR7_HERVH-int	1415	NA	5prime
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	83057878	83061167	HERVH-int:914	HERVH-int	914	16596	+	flanked:LTR7_HERVH-int:1415	flanked	LTR7_HERVH-int	1415	NA	NA
chr10	ZNF-Rpts	cont_Tx_EnhG2	h1	chr10	83057878	83061167	HERVH-int:914	HERVH-int	914	16596	+	flanked:LTR7_HERVH-int:1415	flanked	LTR7_HERVH-int	1415	NA	NA
chr10	TxWk	cont_TxWk_EnhWk	h1	chr10	83057878	83061167	HERVH-int:914	HERVH-int	914	16596	+	flanked:LTR7_HERVH-int:1415	flanked	LTR7_HERVH-int	1415	NA	NA
chr10	TxWk	cont_TxWk_EnhWk	h1	chr10	83061153	83061944	HERVH-int:915	HERVH-int	915	3366	+	flanked:LTR7_HERVH-int:1415	flanked	LTR7_HERVH-int	1415	NA	NA
chr10	TxWk	cont_TxWk_EnhWk	h1	chr10	83061944	83062402	HERVH-int:916	HERVH-int	916	2683	+	flanked:LTR7_HERVH-int:1415	flanked	LTR7_HERVH-int	1415	NA	NA
chr10	TxWk	cont_TxWk_EnhWk	h1	chr10	83062455	83062990	HERVH-int:917	HERVH-int	917	3306	+	flanked:LTR7_HERVH-int:1415	flanked	LTR7_HERVH-int	1415	NA	NA
chr10	TxWk	cont_TxWk_EnhWk	h1	chr10	83062990	83063365	LTR7:918	LTR7	918	1810	+	flanked:LTR7_HERVH-int:1415	flanked	LTR7_HERVH-int	1415	NA	3prime
chr10	TxWk	cont_Low_EnhWk	h1	chr10	83429511	83429886	LTR7:920	LTR7	920	2019	-	solo:LTR7:43	solo	LTR7	43	NA	NA
chr10	EnhA2	cont_EnhA	h1	chr10	86864086	86865050	HERVH-int:928	HERVH-int	928	7458	+	nonflanked:LTR7_HERVH-int:2374:3prime	nonflanked	LTR7_HERVH-int	2374	3prime	NA
chr10	EnhA2	cont_EnhA	h1	chr10	86865050	86865600	LTR7:929	LTR7	929	3305	+	nonflanked:LTR7_HERVH-int:2374:3prime	nonflanked	LTR7_HERVH-int	2374	3prime	3prime
chr10	EnhA1	cont_EnhA	h1	chr10	86865050	86865600	LTR7:929	LTR7	929	3305	+	nonflanked:LTR7_HERVH-int:2374:3prime	nonflanked	LTR7_HERVH-int	2374	3prime	3prime
chr10	TxWk	cont_TxWk_EnhWk	h1	chr10	89329768	89330178	LTR7:937	LTR7	937	2919	-	solo:LTR7:44	solo	LTR7	44	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	90081017	90081469	LTR7:938	LTR7	938	3336	-	flanked:LTR7_HERVH-int:1418	flanked	LTR7_HERVH-int	1418	NA	3prime
chr10	Het	cont_Het_Rpts	h1	chr10	90081469	90081847	HERVH-int:939	HERVH-int	939	2512	-	flanked:LTR7_HERVH-int:1418	flanked	LTR7_HERVH-int	1418	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	90081849	90082063	HERVH-int:940	HERVH-int	940	1424	-	flanked:LTR7_HERVH-int:1418	flanked	LTR7_HERVH-int	1418	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	90082064	90082727	HERVH-int:941	HERVH-int	941	4305	-	flanked:LTR7_HERVH-int:1418	flanked	LTR7_HERVH-int	1418	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	90082721	90083234	HERVH-int:942	HERVH-int	942	3378	-	flanked:LTR7_HERVH-int:1418	flanked	LTR7_HERVH-int	1418	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	90083224	90083374	HERVH-int:943	HERVH-int	943	923	-	flanked:LTR7_HERVH-int:1418	flanked	LTR7_HERVH-int	1418	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	90083353	90086338	HERVH-int:944	HERVH-int	944	20026	-	flanked:LTR7_HERVH-int:1418	flanked	LTR7_HERVH-int	1418	NA	NA
chr10	EnhA2	cont_Tss_noEnh	h1	chr10	90294982	90295414	LTR7Y:946	LTR7Y	946	2573	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	5prime
chr10	TssA	cont_Tss_noEnh	h1	chr10	90294982	90295414	LTR7Y:946	LTR7Y	946	2573	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	5prime
chr10	TssA	cont_Tss_noEnh	h1	chr10	90295414	90298397	HERVH-int:947	HERVH-int	947	19269	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TssFlnk	cont_Tss_noEnh	h1	chr10	90295414	90298397	HERVH-int:947	HERVH-int	947	19269	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TxWk	cont_Tss_noEnh	h1	chr10	90295414	90298397	HERVH-int:947	HERVH-int	947	19269	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TssFlnk	cont_Tss_noEnh	h1	chr10	90298391	90298539	HERVH-int:948	HERVH-int	948	892	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TxWk	cont_Tss_noEnh	h1	chr10	90298391	90298539	HERVH-int:948	HERVH-int	948	892	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TxWk	cont_Tss_noEnh	h1	chr10	90298529	90299032	HERVH-int:949	HERVH-int	949	3343	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TxWk	cont_Tss_noEnh	h1	chr10	90299034	90299696	HERVH-int:950	HERVH-int	950	4274	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TxWk	cont_Tss_noEnh	h1	chr10	90299693	90299912	HERVH-int:951	HERVH-int	951	1384	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TxWk	cont_Tss_noEnh	h1	chr10	90299914	90300291	HERVH-int:952	HERVH-int	952	2437	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	NA
chr10	TxWk	cont_Tss_noEnh	h1	chr10	90300291	90300722	LTR7Y:953	LTR7Y	953	2566	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	3prime
chr10	TssA	cont_Low_TssBiv	h1	chr10	90300291	90300722	LTR7Y:953	LTR7Y	953	2566	+	flanked:LTR7Y_HERVH-int:1419	flanked	LTR7Y_HERVH-int	1419	NA	3prime
chr10	ZNF-Rpts	cont_TxWk_Enh	h1	chr10	90807288	90807737	LTR7:955	LTR7	955	3458	+	flanked:LTR7_HERVH-int:1420	flanked	LTR7_HERVH-int	1420	NA	5prime
chr10	ZNF-Rpts	cont_TxWk_Enh	h1	chr10	90807739	90811408	HERVH-int:956	HERVH-int	956	17551	+	flanked:LTR7_HERVH-int:1420	flanked	LTR7_HERVH-int	1420	NA	NA
chr10	Het	cont_Tx_EnhG2	h1	chr10	90807739	90811408	HERVH-int:956	HERVH-int	956	17551	+	flanked:LTR7_HERVH-int:1420	flanked	LTR7_HERVH-int	1420	NA	NA
chr10	TxWk	cont_Het_Rpts	h1	chr10	90807739	90811408	HERVH-int:956	HERVH-int	956	17551	+	flanked:LTR7_HERVH-int:1420	flanked	LTR7_HERVH-int	1420	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	90812809	90813258	LTR7:961	LTR7	961	3610	+	flanked:LTR7_HERVH-int:1420	flanked	LTR7_HERVH-int	1420	NA	3prime
chr10	EnhA1	cont_EnhA_EnhWk	h1	chr10	90812809	90813258	LTR7:961	LTR7	961	3610	+	flanked:LTR7_HERVH-int:1420	flanked	LTR7_HERVH-int	1420	NA	3prime
chr10	ReprPCWk	cont_Low_TssBiv	h1	chr10	91304061	91306919	HERVH-int:967	HERVH-int	967	13719	-	flanked:LTR7_HERVH-int:1421	flanked	LTR7_HERVH-int	1421	NA	NA
chr10	ReprPCWk	cont_Low_TssBiv	h1	chr10	91306921	91307329	LTR7:968	LTR7	968	2503	-	flanked:LTR7_HERVH-int:1421	flanked	LTR7_HERVH-int	1421	NA	5prime
chr10	EnhA2	cont_EnhA	h1	chr10	95229140	95229539	LTR7:970	LTR7	970	2598	+	solo:LTR7:47	solo	LTR7	47	NA	NA
chr10	EnhA1	cont_EnhA	h1	chr10	95229140	95229539	LTR7:970	LTR7	970	2598	+	solo:LTR7:47	solo	LTR7	47	NA	NA
chr10	TssFlnkU	cont_EnhA	h1	chr10	95231192	95231643	LTR7:971	LTR7	971	3509	+	solo:LTR7:47	solo	LTR7	47	NA	NA
chr10	EnhA2	cont_EnhA	h1	chr10	95231192	95231643	LTR7:971	LTR7	971	3509	+	solo:LTR7:47	solo	LTR7	47	NA	NA
chr10	EnhA1	cont_EnhA	h1	chr10	95231192	95231643	LTR7:971	LTR7	971	3509	+	solo:LTR7:47	solo	LTR7	47	NA	NA
chr10	EnhWk	cont_EnhA_EnhWk	h1	chr10	96308589	96309019	LTR7B:972	LTR7B	972	3396	-	solo:LTR7B:48	solo	LTR7B	48	NA	NA
chr10	EnhA2	cont_Tss_EnhG	h1	chr10	97338914	97339356	LTR7Y:977	LTR7Y	977	3563	+	solo:LTR7Y:49	solo	LTR7Y	49	NA	NA
chr10	Het	cont_Low_EnhWk	h1	chr10	97562297	97562848	LTR7B:978	LTR7B	978	2758	-	nonflanked:LTR7B_HERVH-int:2375:3prime	nonflanked	LTR7B_HERVH-int	2375	3prime	3prime
chr10	Het	cont_Low_EnhWk	h1	chr10	97562848	97563403	HERVH-int:979	HERVH-int	979	3559	-	nonflanked:LTR7B_HERVH-int:2375:3prime	nonflanked	LTR7B_HERVH-int	2375	3prime	NA
chr10	Het	cont_Het_Rpts	h1	chr10	99260263	99260330	LTR7B:981	LTR7B	981	528	+	flanked:LTR7B_HERVH-int:1423	flanked	LTR7B_HERVH-int	1423	NA	5prime
chr10	Het	cont_Het_Rpts	h1	chr10	99260330	99260757	HERVH-int:982	HERVH-int	982	1637	+	flanked:LTR7B_HERVH-int:1423	flanked	LTR7B_HERVH-int	1423	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	99260782	99262833	HERVH-int:983	HERVH-int	983	13174	+	flanked:LTR7B_HERVH-int:1423	flanked	LTR7B_HERVH-int	1423	NA	NA
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	100380919	100381305	LTR7B:990	LTR7B	990	2784	+	flanked:LTR7B_HERVH-int:1424	flanked	LTR7B_HERVH-int	1424	NA	5prime
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	100381305	100381754	HERVH-int:991	HERVH-int	991	1921	+	flanked:LTR7B_HERVH-int:1424	flanked	LTR7B_HERVH-int	1424	NA	NA
